Kategori,Nama Barang,Kode,Satuan,Stok Awal,Pcs/Dus
Produk Akhir,Wedges Plain 500gr,PA01,pcs,0,20
Produk Akhir,Wedges Plain 1kg,PA02,pcs,0,10
Produk Akhir,Wedges Plain 2kg,PA03,pcs,0,5
Produk Akhir,Waffle Seasoned Fries 500gr,PA04,pcs,0,20
Produk Akhir,Waffle Seasoned Fries 1kg,PA05,pcs,0,10
Produk Akhir,Waffle Seasoned Fries 2kg,PA06,pcs,0,5
Produk Akhir,Rendang Seasoned Wedges 500gr,PA07,pcs,11,20
Produk Akhir,Rendang Seasoned Wedges 1kg,PA08,pcs,0,10
Produk Akhir,Rendang Seasoned Wedges 2kg,PA09,pcs,0,5
Produk Akhir,Mashed Potato 500gr,PA10,pcs,37,20
Produk Akhir,Mashed Potato 1kg,PA11,pcs,9,10
Produk Akhir,Mashed Potato 2kg,PA12,pcs,0,5
Produk Akhir,Cheesy Potato Nuggets 500gr,PA13,pcs,0,20
Produk Akhir,Cheesy Potato Nuggets 1kg,PA14,pcs,11,10
Produk Akhir,Cheesy Potato Nuggets 2kg,PA15,pcs,0,5
Produk Akhir,Mozzarella Potato Sticks 10pcs,PA16,pcs,0,0
Produk Akhir,Mozzarella Potato Balls 10pcs,PA17,pcs,0,0
Produk Akhir,Mixed Vegetables 4 Ways 1kg,PA18,pcs,4,10
Produk Akhir,Mixed Vegetables 3 Ways 1kg,PA19,pcs,5,10
Produk Akhir,Mixed Capcay 1kg,PA20,pcs,0,10
Produk Akhir,Jagung Manis Pipil 1kg,PA21,pcs,12,10
Produk Akhir,Jagung,PA22,kg,0,0
Produk Akhir,Wortel,PA23,kg,0,0
Produk Akhir,Buncis,PA24,kg,0,0
Produk Akhir,Kacang Polong,PA25,kg,0,0
Produk Akhir,Crinkle Cut 500gr,PA26,pcs,0,20
Produk Akhir,Crinkle Cut 1kg,PA27,pcs,0,10
Produk Akhir,Crinkle Cut 2kg,PA28,pcs,0,5
Produk Akhir,Seasoned Wedges 500gr,PA29,pcs,0,20
Produk Akhir,Seasoned Wedges 1kg ( Sablon ),PA30,pcs,30,10
Produk Akhir,Seasoned Wedges 2kg,PA31,pcs,4,5
Produk Akhir,Sweet Chopped Carrots,PA32,pcs,0,0
Produk Akhir,Shoestring Battercoated 2kg,PA33,kg,0,5
Produk Akhir,Baby Potato,PA34,pcs,0,0
Produk Akhir,Edamame 1kg,PA35,pcs,0,10
Produk Akhir,Seasoned Wedges 1kg ( Polos ),,pcs,36,10
Produk Akhir,Mashed Potato 1kg ( Sablon ) GB,,pcs,0,10
Bahan Baku,Kentang Atlantik,BB01,kg,0,0
Bahan Baku,Kentang Granola,BB02,kg,0,0
Bahan Baku,Kentang Medians,BB03,kg,0,0
Bahan Baku,Jagung,BB04,kg,0,0
Bahan Baku,Wortel,BB05,kg,0,0
Bahan Baku,Buncis,BB06,kg,0,0
Bahan Baku,Kacang Polong,BB07,kg,0,0
Bahan Baku,Brokoli,BB08,kg,0,0
Bahan Baku,Kembang Kol,BB09,kg,0,0
Bahan Baku,Kentang Ventury,BB10,kg,0,0
Bahan Kemas,Plastik uk 30x45,BK01,pcs,41600,0
Bahan Kemas,Plastik uk 20x35,BK02,pcs,215,0
Bahan Kemas,Plastik uk 15x25,BK03,pcs,0,0
Bahan Kemas,Plastik uk 90x120 (trashbag),BK04,pcs,32,0
Bahan Kemas,Plastik Cheesy Potato Nugget 1kg,BK05,pcs,45,0
Bahan Kemas,Plastik Cheesy Potato Nugget 250gr,BK06,pcs,95,0
Bahan Kemas,Plastik Cheesy Potato Nugget 500gr (sablon),BK07,pcs,65,0
Bahan Kemas,Plastik Hashbrown 1kg,BK08,pcs,180,0
Bahan Kemas,Plastik Hashbrown 250gr,BK09,pcs,200,0
Bahan Kemas,Plastik Hashbrown 500gr,BK10,pcs,0,0
Bahan Kemas,Plastik Jagung 500gr,BK11,pcs,0,0
Bahan Kemas,Plastik Jagung 1kg,BK12,pcs,480,0
Bahan Kemas,Plastik Mashed Potato 1kg,BK13,pcs,0,0
Bahan Kemas,Plastik Mashed Potato 250gr,BK14,pcs,66,0
Bahan Kemas,Plastik Mashed Potato 500gr (sablon),BK15,pcs,0,0
Bahan Kemas,Plastik Mix Vegetables 1kg,BK16,pcs,45,0
Bahan Kemas,Plastik Mix Vegetables 500gr,BK17,pcs,47,0
Bahan Kemas,Plastik Polos 500gr,BK18,pcs,22,0
Bahan Kemas,Plastik Polos 1kg,BK19,pcs,215,0
Bahan Kemas,Plastik Polos 2kg,BK20,pcs,4160,0
Bahan Kemas,Plastik Rendang Wedges 500gr (sablon),BK21,pcs,0,0
Bahan Kemas,Plastik Rendang Wedges 1kg,BK22,pcs,0,0
Bahan Kemas,Plastik Seasoned Fries 1kg,BK23,pcs,0,0
Bahan Kemas,Plastik Seasoned Fries 250gr,BK24,pcs,0,0
Bahan Kemas,Plastik Seasoned Fries 500gr,BK25,pcs,0,0
Bahan Kemas,Plastik Seasoned Wedges 1kg,BK26,pcs,0,0
Bahan Kemas,Plastik Seasoned Wedges 250gr,BK27,pcs,0,0
Bahan Kemas,Plastik Seasoned Wedges 500gr,BK28,pcs,256,0
Bahan Kemas,Plastik Shoestring 1kg,BK29,pcs,71,0
Bahan Kemas,Plastik Shoestring 500gr,BK30,pcs,61,0
Bahan Kemas,Plastik Straightcut 1kg,BK31,pcs,0,0
Bahan Kemas,Plastik Straightcut 500gr,BK32,pcs,87,0
Bahan Kemas,Plastik Tulisan Hitam 1kg,BK33,pcs,0,0
