Kategori,Kode,Nama Barang,Satuan,Stok Awal File,Stok Sekarang File,Stok App Awal,Pcs/Dus,Lokasi,Supplier,Harga
Produk Akhir,PA01,Wedges Plain 500gr,pcs,0,0,0,20,Freezer Produk Jadi - 500gr,Produksi Internal,0
Produk Akhir,PA02,Wedges Plain 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,28000
Produk Akhir,PA03,Wedges Plain 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,28000
Produk Akhir,PA04,Waffle Seasoned Fries 500gr,pcs,0,0,0,20,Freezer Produk Jadi - 500gr,Produksi Internal,52000
Produk Akhir,PA05,Waffle Seasoned Fries 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,PA06,Waffle Seasoned Fries 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,0
Produk Akhir,PA07,Rendang Seasoned Wedges 500gr,pcs,11,11,11,20,Freezer Produk Jadi - 500gr,Produksi Internal,54000
Produk Akhir,PA08,Rendang Seasoned Wedges 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,PA09,Rendang Seasoned Wedges 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,0
Produk Akhir,PA10,Mashed Potato 500gr,pcs,37,37,37,20,Freezer Produk Jadi - 500gr,Produksi Internal,47000
Produk Akhir,PA11,Mashed Potato 1kg,pcs,9,-51,-51,10,Freezer Produk Jadi - 1kg,Produksi Internal,29500
Produk Akhir,PA12,Mashed Potato 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,0
Produk Akhir,PA13,Cheesy Potato Nuggets 500gr,pcs,0,0,0,20,Freezer Produk Jadi - 500gr,Produksi Internal,58000
Produk Akhir,PA14,Cheesy Potato Nuggets 1kg,pcs,11,11,11,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,PA15,Cheesy Potato Nuggets 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,0
Produk Akhir,PA16,Mozzarella Potato Sticks 10pcs,pcs,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA17,Mozzarella Potato Balls 10pcs,pcs,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA18,Mixed Vegetables 4 Ways 1kg,pcs,4,4,4,10,Freezer Produk Jadi - 1kg,Produksi Internal,22000
Produk Akhir,PA19,Mixed Vegetables 3 Ways 1kg,pcs,5,5,5,10,Freezer Produk Jadi - 1kg,Produksi Internal,21000
Produk Akhir,PA20,Mixed Capcay 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,PA21,Jagung Manis Pipil 1kg,pcs,12,12,12,10,Freezer Produk Jadi - 1kg,Produksi Internal,23000
Produk Akhir,PA22,Jagung,kg,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA23,Wortel,kg,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA24,Buncis,kg,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA25,Kacang Polong,kg,0,0,0,0,Freezer Produk Jadi,Produksi Internal,30000
Produk Akhir,PA26,Crinkle Cut 500gr,pcs,0,0,0,20,Freezer Produk Jadi - 500gr,Produksi Internal,24000
Produk Akhir,PA27,Crinkle Cut 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,24000
Produk Akhir,PA28,Crinkle Cut 2kg,pcs,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,24000
Produk Akhir,PA29,Seasoned Wedges 500gr,pcs,0,0,0,20,Freezer Produk Jadi - 500gr,Produksi Internal,0
Produk Akhir,PA30,Seasoned Wedges 1kg ( Sablon ),pcs,30,30,30,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,PA31,Seasoned Wedges 2kg,pcs,4,4,4,5,Freezer Produk Jadi - 2kg,Produksi Internal,31000
Produk Akhir,PA32,Sweet Chopped Carrots,pcs,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA33,Shoestring Battercoated 2kg,kg,0,0,0,5,Freezer Produk Jadi - 2kg,Produksi Internal,0
Produk Akhir,PA34,Baby Potato,pcs,0,0,0,0,Freezer Produk Jadi,Produksi Internal,0
Produk Akhir,PA35,Edamame 1kg,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,,Seasoned Wedges 1kg ( Polos ),pcs,36,36,36,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Produk Akhir,,Mashed Potato 1kg ( Sablon ) GB,pcs,0,0,0,10,Freezer Produk Jadi - 1kg,Produksi Internal,0
Bahan Baku,BB01,Kentang Atlantik,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,13000
Bahan Baku,BB02,Kentang Granola,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,13000
Bahan Baku,BB03,Kentang Medians,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,13000
Bahan Baku,BB04,Jagung,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,17000
Bahan Baku,BB05,Wortel,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,6500
Bahan Baku,BB06,Buncis,kg,0,0,0,0,Freezer Bahan Baku,Supplier Bahan Baku,13000
